Covered Entity Name,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present,Web Description
Beverly Hills Oncology Medical Group,CA,Healthcare Provider,57655,2025-10-31,Hacking/IT Incident,Network Server,No,
Hale Makua Health Services,HI,Healthcare Provider,500,2025-10-29,Hacking/IT Incident,Network Server,No,
"Northwest Radiologists, Inc./Mount Baker Imaging",WA,Healthcare Provider,362713,2025-10-28,Hacking/IT Incident,Network Server,No,
Health Management Systems of America,MI,Healthcare Provider,4213,2025-10-27,Hacking/IT Incident,Email,No,
"REACH, Inc",AK,Healthcare Provider,1195,2025-10-27,Hacking/IT Incident,Email,No,
"VirMedice, LLC",AZ,Business Associate,1000,2025-10-25,Hacking/IT Incident,Network Server,Yes,
Physicians to Children & Adolescents,KY,Healthcare Provider,9536,2025-10-24,Hacking/IT Incident,Network Server,No,
Saint Mary’s Home of Erie ,PA,Healthcare Provider,501,2025-10-24,Hacking/IT Incident,Network Server,No,
Southwest Urology,OH,Healthcare Provider,1310,2025-10-24,Hacking/IT Incident,Network Server,Yes,
Fairbanks Urology,AK,Healthcare Provider,1446,2025-10-24,Hacking/IT Incident,Network Server,Yes,
"Michael R. Schwartz, MD Inc.",CA,Healthcare Provider,9080,2025-10-23,Hacking/IT Incident,Desktop Computer,No,
"Legacy Health, LLC",TX,Business Associate,6547,2025-10-23,Unauthorized Access/Disclosure,Electronic Medical Record,Yes,
"Express Canna Cards, LLC",FL,Healthcare Provider,5000,2025-10-20,Unauthorized Access/Disclosure,Electronic Medical Record,No,
Heartland Health Center ,NE,Healthcare Provider,43728,2025-10-17,Hacking/IT Incident,Network Server,No,
North Atlantic States Carpenters Health Benefits Fund,MA,Health Plan,501,2025-10-17,Hacking/IT Incident,Network Server,No,
"Modernizing Medicine, Inc.",FL,Business Associate,198795,2025-10-17,Hacking/IT Incident,Network Server,Yes,
"Coalesce, LLC dba Benefitelect",AZ,Business Associate,501,2025-10-15,Hacking/IT Incident,Network Server,Yes,
"Visiting Nurse Association of Texas, LLC",TX,Healthcare Provider,28515,2025-10-10,Hacking/IT Incident,Email,No,
Conduent Business Services LLC,NJ,Business Associate,42616,2025-10-08,Hacking/IT Incident,Network Server,Yes,
"Wellpoint, Inc.",IN,Business Associate,579,2025-10-07,Hacking/IT Incident,Network Server,Yes,
Sierra Vista Hospital & Clinics,NM,Healthcare Provider,75054,2025-10-06,Hacking/IT Incident,Network Server,No,
"OB-GYN Associates, Ltd. dba OBGYN Associates ",NV,Healthcare Provider,62238,2025-10-06,Hacking/IT Incident,Network Server,No,
Cardiovascular Medicine Associates (doing business as MyCardiologist) ,FL,Healthcare Provider,2248,2025-10-06,Hacking/IT Incident,Email,No,
Space Coast Vascular,FL,Healthcare Provider,18819,2025-10-06,Hacking/IT Incident,Network Server,No,
